@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1,'2023/11/29 08:57:08:209',1,370.392639,224.997879,364.10144,176.120407,300.098755,180.189087,317.191772,171.567825,337.427734,177.961105,319.12146,182.857132,383.483765,176.227554,402.065704,168.308853,417.821381,175.070404,401.694153,179.376724,322.188538,293.835571,347.440155,271.91095,389.117615,268.71814,409.311005,287.518311,391.500671,337.539856,346.207581,340.309326,1
2,'2023/11/29 08:57:08:245',1,370.165894,225.012314,363.924042,175.971542,300.073456,180.062759,317.13208,171.430252,337.359192,177.803345,319.066895,182.717453,383.393555,176.026184,401.981873,168.096802,417.75943,174.836777,401.602539,179.147552,322.178284,293.854004,347.367859,271.963684,389.08136,268.734375,409.391663,287.446472,391.471863,337.355896,346.181549,340.167419,1
3,'2023/11/29 08:57:08:247',1,370.165894,225.012314,363.924042,175.971542,300.073456,180.062759,317.13208,171.430252,337.359192,177.803345,319.066895,182.717453,383.393555,176.026184,401.981873,168.096802,417.75943,174.836777,401.602539,179.147552,322.178284,293.854004,347.367859,271.963684,389.08136,268.734375,409.391663,287.446472,391.471863,337.355896,346.181549,340.167419,1
4,'2023/11/29 08:57:08:256',1,370.023621,224.988358,363.737122,176.197372,299.740387,180.418686,316.819366,171.730667,337.091003,178.097794,318.787781,183.031082,383.2099,176.209961,401.816345,168.183853,417.624512,174.927582,401.440613,179.289063,321.91983,293.954376,347.130524,271.857849,388.881226,268.582764,409.143005,287.445496,391.289124,337.783691,345.907776,340.639709,1
5,'2023/11/29 08:57:08:279',1,370.023621,224.988358,363.737122,176.197372,299.740387,180.418686,316.819366,171.730667,337.091003,178.097794,318.787781,183.031082,383.2099,176.209961,401.816345,168.183853,417.624512,174.927582,401.440613,179.289063,321.91983,293.954376,347.130524,271.857849,388.881226,268.582764,409.143005,287.445496,391.289124,337.783691,345.907776,340.639709,1
6,'2023/11/29 08:57:08:289',1,369.927734,224.918106,363.657104,176.013489,299.667694,180.227249,316.733429,171.57814,337.009827,177.889679,318.703186,182.838928,383.18866,176.013641,401.797791,168.055847,417.615112,174.746109,401.41629,179.093826,321.910583,293.861145,347.08847,271.831665,388.868835,268.526062,409.161163,287.307861,391.296692,337.61731,345.896088,340.495911,1
7,'2023/11/29 08:57:08:312',1,369.927734,224.918106,363.657104,176.013489,299.667694,180.227249,316.733429,171.57814,337.009827,177.889679,318.703186,182.838928,383.18866,176.013641,401.797791,168.055847,417.615112,174.746109,401.41629,179.093826,321.910583,293.861145,347.08847,271.831665,388.868835,268.526062,409.161163,287.307861,391.296692,337.61731,345.896088,340.495911,1
8,'2023/11/29 08:57:08:323',1,369.955811,224.6306,363.61322,175.827927,299.714661,180.209015,316.759308,171.541214,337.000916,177.8172,318.716797,182.792511,383.145874,175.948776,401.722626,168.032684,417.531769,174.732849,401.371216,179.044952,322.18335,293.985748,347.322418,271.853882,388.992798,268.514404,409.316162,287.347595,391.433777,337.14917,346.181824,340.058014,1
9,'2023/11/29 08:57:08:345',1,369.955811,224.6306,363.61322,175.827927,299.714661,180.209015,316.759308,171.541214,337.000916,177.8172,318.716797,182.792511,383.145874,175.948776,401.722626,168.032684,417.531769,174.732849,401.371216,179.044952,322.18335,293.985748,347.322418,271.853882,388.992798,268.514404,409.316162,287.347595,391.433777,337.14917,346.181824,340.058014,1
10,'2023/11/29 08:57:08:356',1,370.185547,224.436981,363.868713,175.637848,299.923309,179.973328,317.007324,171.335419,337.23941,177.61969,318.927307,182.578552,383.390137,175.843796,401.986969,168.004196,417.788391,174.730118,401.634949,178.998398,322.309204,293.950378,347.49585,271.77002,389.154938,268.506866,409.475037,287.475342,391.58728,337.200317,346.327271,340.039001,1
11,'2023/11/29 08:57:08:379',1,370.185547,224.436981,363.868713,175.637848,299.923309,179.973328,317.007324,171.335419,337.23941,177.61969,318.927307,182.578552,383.390137,175.843796,401.986969,168.004196,417.788391,174.730118,401.634949,178.998398,322.309204,293.950378,347.49585,271.77002,389.154938,268.506866,409.475037,287.475342,391.58728,337.200317,346.327271,340.039001,1
12,'2023/11/29 08:57:08:390',1,370.471741,224.367355,364.135254,175.594971,300.179443,179.881317,317.268494,171.226471,337.499451,177.527008,319.1987,182.498367,383.670654,175.774628,402.273956,167.936783,418.066528,174.689667,401.90625,178.95488,322.684204,294.183197,347.844543,271.861328,389.386414,268.60437,409.664734,287.729767,391.856079,337.596893,346.647949,340.425934,1
13,'2023/11/29 08:57:08:427',1,370.471741,224.367355,364.135254,175.594971,300.179443,179.881317,317.268494,171.226471,337.499451,177.527008,319.1987,182.498367,383.670654,175.774628,402.273956,167.936783,418.066528,174.689667,401.90625,178.95488,322.684204,294.183197,347.844543,271.861328,389.386414,268.60437,409.664734,287.729767,391.856079,337.596893,346.647949,340.425934,1
14,'2023/11/29 08:57:08:438',1,370.861938,224.442596,364.665955,175.539978,300.5625,179.720398,317.68335,171.127167,337.959625,177.43866,319.614685,182.371078,384.258087,175.707321,402.912048,167.875854,418.743713,174.598541,402.511719,178.881378,322.715515,293.602814,347.933228,271.513245,389.824432,268.306549,410.132935,287.273376,392.222534,337.563171,346.725769,340.342926,1
15,'2023/11/29 08:57:08:462',1,370.861938,224.442596,364.665955,175.539978,300.5625,179.720398,317.68335,171.127167,337.959625,177.43866,319.614685,182.371078,384.258087,175.707321,402.912048,167.875854,418.743713,174.598541,402.511719,178.881378,322.715515,293.602814,347.933228,271.513245,389.824432,268.306549,410.132935,287.273376,392.222534,337.563171,346.725769,340.342926,1
16,'2023/11/29 08:57:08:472',1,371.353394,224.048767,365.219055,175.537888,300.978455,179.621567,318.169495,171.105606,338.396332,177.470154,320.038818,182.300064,384.647339,175.950943,403.276611,168.246597,419.065918,175.051544,402.879608,179.218933,322.703644,292.993439,348.053894,270.881927,390.008087,267.880035,410.163483,287.119659,392.312866,337.418854,346.755981,340.001984,1
17,'2023/11/29 08:57:08:496',1,371.353394,224.048767,365.219055,175.537888,300.978455,179.621567,318.169495,171.105606,338.396332,177.470154,320.038818,182.300064,384.647339,175.950943,403.276611,168.246597,419.065918,175.051544,402.879608,179.218933,322.703644,292.993439,348.053894,270.881927,390.008087,267.880035,410.163483,287.119659,392.312866,337.418854,346.755981,340.001984,1
18,'2023/11/29 08:57:08:505',1,371.443542,224.200607,365.230713,175.794601,300.811554,179.785217,318.044525,171.232742,338.324432,177.694382,319.926422,182.520416,384.649719,176.217392,403.315613,168.455643,419.119507,175.2995,402.917603,179.492981,322.780457,293.181427,348.167053,271.003265,390.103088,267.974182,410.24231,287.258759,392.432312,337.577209,346.86499,340.177063,1
19,'2023/11/29 08:57:08:528',1,371.443542,224.200607,365.230713,175.794601,300.811554,179.785217,318.044525,171.232742,338.324432,177.694382,319.926422,182.520416,384.649719,176.217392,403.315613,168.455643,419.119507,175.2995,402.917603,179.492981,322.780457,293.181427,348.167053,271.003265,390.103088,267.974182,410.24231,287.258759,392.432312,337.577209,346.86499,340.177063,1
20,'2023/11/29 08:57:08:557',1,371.388,224.384308,365.143555,175.734558,300.731171,179.754593,317.928833,171.166275,338.260803,177.581223,319.856628,182.486176,384.5896,175.940002,403.256348,168.065613,419.0802,174.838089,402.863037,179.155197,322.804321,293.245667,348.151245,271.179443,390.058228,268.041382,410.20636,287.085052,392.423096,337.508728,346.85553,340.21936,1
21,'2023/11/29 08:57:08:572',1,371.304871,224.210342,365.133545,175.627899,300.7771,179.596375,317.974121,171.044128,338.267151,177.508835,319.851593,182.365784,384.619019,176.040039,403.294586,168.26944,419.112061,175.110123,402.911438,179.337021,322.839233,293.201172,348.187683,271.202911,390.004059,268.180267,410.224365,287.283173,392.329529,336.909698,346.915833,339.502533,1
22,'2023/11/29 08:57:08:594',1,371.304871,224.210342,365.133545,175.627899,300.7771,179.596375,317.974121,171.044128,338.267151,177.508835,319.851593,182.365784,384.619019,176.040039,403.294586,168.26944,419.112061,175.110123,402.911438,179.337021,322.839233,293.201172,348.187683,271.202911,390.004059,268.180267,410.224365,287.283173,392.329529,336.909698,346.915833,339.502533,1
23,'2023/11/29 08:57:08:606',1,371.319519,224.160583,365.269409,175.41452,300.88739,179.166397,318.106293,170.585052,338.429749,177.217804,319.972565,182.012039,384.74646,175.734039,403.46283,167.821289,419.289612,174.712662,403.06076,178.995422,322.593994,292.605713,347.994537,270.786407,389.967773,267.826263,410.202637,286.831787,392.255737,336.795898,346.681122,339.329834,1
24,'2023/11/29 08:57:08:659',1,371.319519,224.160583,365.269409,175.41452,300.88739,179.166397,318.106293,170.585052,338.429749,177.217804,319.972565,182.012039,384.74646,175.734039,403.46283,167.821289,419.289612,174.712662,403.06076,178.995422,322.593994,292.605713,347.994537,270.786407,389.967773,267.826263,410.202637,286.831787,392.255737,336.795898,346.681122,339.329834,1
25,'2023/11/29 08:57:08:672',1,371.100281,224.279739,365.073486,175.069794,300.956604,178.316177,318.096771,169.682556,338.381927,176.568542,319.988953,181.308456,384.471863,175.192001,403.191162,167.156906,418.914734,174.184998,402.738861,178.495514,322.838501,292.739746,348.159729,271.172546,389.558899,268.312469,409.766144,287.167297,391.854675,336.192505,346.823914,338.633728,1
26,'2023/11/29 08:57:08:697',1,367.909821,325.516418,364.706177,306.078735,328.649445,303.938599,337.753784,302.256744,349.601715,304.12735,340.380676,305.642365,378.784241,303.995544,390.159729,301.691711,399.92865,302.933197,388.620605,305.045624,343.775665,338.691895,357.606293,336.866577,382.300323,336.062836,396.851929,336.968445,383.171326,343.772034,359.118042,344.485657,1
